word,count
παραβαίνω,196
παίω,196
ἅρμα,196
Ἑλληνίς,195
ἰσχύω,194
καθοράω,194
ἀποχωρέω,194
ἐγείρω,194
τράπεζα,194
συγγίγνομαι,194
ὀφλισκάνω,194
τιτρώσκω,194
ἐλαία,194
μεστός,194
ὄνος,194
διαχωρέω,194
πρόκειμαι,193
ἀγρός,193
Ἀθήνη,193
κατήγορος,193
οὖρον,193
κατανοέω,192
πτερόν,192
ὠνέομαι,192
προσποιέω,191
ἀποπλέω,191
συκοφαντέω,191
ὀθόνιον,191
στρατηγέω,190
ἀποβάλλω,190
ἄγαλμα,190
στέρησις,190
ναός,190
ἰάομαι,190
Διονύσιος,190
ἀφανής,189
στερέω,189
ἐπιφέρω,189
ἐγγράφω,189
ἀνοίγνυμι,189
φθόνος,189
ὠθέω,189
πλευρόν,189
τράχηλος,189
ὀσφῦς,189
διακρίνω,188
Χῖος,188
στενός,188
πάτριος,188
σχολή,188
ὑψηλός,188
χλωρός,188
ἕβδομος,188
γελάω,188
συνουσία,188
πιπίσκω,188
Ἑλληνικός,187
κόλπος,187
προτίθημι,187
προσλαμβάνω,186
εὔπορος,186
μεταπέμπω,186
ἀστός,186
σπασμός,186
βιόω,186
ψέγω,186
ἀναπνέω,186
ὑγρότης,186
ἔκγονος,185
ἐξουσία,185
ἐκφεύγω,185
περίοδος,185
σκέψις,185
συλλογίζομαι,185
ἐναντιόομαι,184
ἀπόστασις,184
σπεύδω,184
διαιρετός,184
Σπάρτη,184
αὐχήν,184
δάκνω,184
ὁμοιότης,184
Ἁγνίας,184
ἐπιτάσσω,183
συνοικέω,183
ἀναφέρω,183
ὄνειδος,183
καταμανθάνω,183
ὑγιεινός,183
συνίημι,182
ἐπεξέρχομαι,182
μεταλαμβάνω,182
σφάλλω,182
ἀποβλέπω,182
τραχύς,182
βάθος,182
μαστός,182
προίξ,182
πρόσοδος,181
μέτειμι,181
ἄχθομαι,181
βήξ,181
Νικίας,181
λοιδορέω,181
ὑπηρετέω,181
δειλός,180
μόριος,180
περιβάλλω,179
Ἀλέξανδρος,179
δοκιμάζω,179
κλαίω,179
ἐπιμήνιος,179
πυριάω,179
Ἀττική,178
ἑξήκοντα,178
κράτος,178
πρόθυμος,178
ὕστερον,178
ἐραστής,178
κατάγω,177
εἰσβάλλω,177
μελετάω,177
κατορθόω,177
ἱδρύω,177
ἐμπίμπλημι,177
ἔντερον,177
πυός,177
προκαλέω,176
ῥώμη,176
ὀκνέω,176
γονή,176
κώμη,175
βέλος,175
ἀξία,175
ἀκτή,175
ἀλλοίωσις,175
μηνύω,174
μνημονεύω,174
ἔξοδος,174
ὀρέγω,174
τίμημα,174
ἐλεέω,174
Πρωταγόρας,174
ἀπολέγω,173
ἐνδείκνυμι,173
ἀτελής,173
ῥήγνυμι,173
Μοῦσα,173
Ἑλένη,172
πορεία,172
αἵρεσις,172
ἄτιμος,172
χρῄζω,172
βελτίων,172
ὄφις,172
ὄγκος,172
κινούμενον,172
ἁρπάζω,171
Ὀρέστης,171
παντοδαπός,171
ἀληθινός,171
ἄνισος,171
διακόσιοι,170
καταβάλλω,170
πρεσβεύω,170
εὐθύς,170
ἐπαγγέλλω,170
πλήσσω,170
ἐπιτιμάω,170
κοτύλη,170
ψῦχος,170
ὄξος,170
ἔμπειρος,169
εὐτυχία,169
ἐκβαίνω,169
ἐπιδίδωμι,169
ἐντίθημι,169
γόνος,169
ἐπίπεδος,169
Ἀχιλλεύς,168
στασιάζω,168
Εὔβοια,168
ψιλός,168
ἀποφεύγω,168
σκότος,168
ἐπιβάλλω,168
γέλως,168
βασανίζω,168
οὐρέω,168
Θρᾷξ,167
ἀνδράποδον,167
ὠμός,167
τλήμων,167
στείχω,167
λέξις,167
φθόγγος,167
πλησιάζω,167
κνήμη,167
ἀποτρέπω,166
Κλεινίας,166
πελταστής,166
στρογγύλος,166
ῥεῦμα,166
Μενέλαος,166
καυλός,166
ῥόος,165
ἑορτή,165
βοή,165
φλόξ,165
Πόντος,165
πρίαμαι,165
τήκω,165
μονάς,165
Σόλων,165
μαθηματικός,165
ἄπιστος,164
ἕκτος,164
Φοῖβος,164
παράνομος,164
πύργος,164
πνεύμων,164
τόνος,164
τρόπαιον,163
ἀθροίζω,163
περίειμι,163
ἐγκρατής,163
ἀπολογία,163
ὀλέθριος,163
διαγιγνώσκω,162
Λιβύη,162
ἐφοράω,162
ταραχή,162
ἀποφέρω,162
ποικίλος,162
μύρον,162
οἴδημα,162
Φοῖνιξ,161
ἀποτελέω,161
ἐμπειρία,161
ἑσπέριος,161
δημότης,161
βασιλικός,161
Ἀγαμέμνων,160
πλεονεκτέω,160
κατοικέω,160
βάλανος,160
ἐξίστημι,160
διατριβή,160
ὑπεροχή,160
δίπους,160
καθαιρέω,159
σίδηρος,159
Κόρινθος,159
ἐξεργάζομαι,159
Σάρδεις,159
ἱκετεύω,159
λέων,159
σπλάγχνον,159
Ἄρης,159
εἰκάζω,158
μεταδίδωμι,158
ἐπιστήμων,158
ἀπαιτέω,158
γνήσιος,158
πνέω,158
στιγμή,158
καταστρέφω,157
πρεσβεία,157
ῥίπτω,157
συντάσσω,157
ἔμψυχος,157
ἐλευθερόω,156
ναύτης,156
γεραιός,156
ἄψυχος,156
ἄρτος,155
κατάστασις,155
